time,venue,code,raceno,runnerno,runnername,type,market,bookie,odds,result,BSP,BSP
,,,,,,,,,,,Price Win,Price Place
6/20/2025 19:09,MELTON,Harness,4,1,NOTHING SWEETER,CASH,Fixed Win,Tabtouch,4.6,Success,3.55,1.6
6/20/2025 19:08,MELTON,Harness,4,6,I LIKE WHAT I SEE,CASH,Fixed Win,BetRight,19,Error,15.8,4.9
6/20/2025 18:44,MELTON,Harness,3,12,DEVILS BLING,CASH,Fixed Win,TAB,1.85,Error,1.81,1.16
6/20/2025 18:41,MELTON,Harness,3,12,DEVILS BLING,CASH,Fixed Win,Tabtouch,2.2,Success,1.81,1.16
6/20/2025 18:14,MELTON,Harness,2,11,MY LITTLE BO,CASH,Fixed Win,Tabtouch,3.4,Error,3.38,1.65
6/20/2025 18:12,MELTON,Harness,2,2,JUDES DUDE,CASH,Fixed Win,TAB,41,Error,52.59,8.7
6/20/2025 18:12,MELTON,Harness,2,1,SENNA STORM,CASH,Fixed Win,Tabtouch,6.5,Success,5.3,1.82
6/20/2025 18:10,MELTON,Harness,2,1,SENNA STORM,CASH,Fixed Win,Sportsbet,6.5,Error,5.3,1.82
6/20/2025 18:09,MELTON,Harness,2,6,LOU WILL NZ,CASH,Fixed Win,Tabtouch,23,Error,12.5,3.75
6/20/2025 17:39,MELTON,Harness,1,1,ALLWATFUNJINGLES,CASH,Fixed Win,Sportsbet,71,Error,69.13,8.6
6/20/2025 17:38,MELTON,Harness,1,1,ALLWATFUNJINGLES,CASH,Fixed Win,TAB,61,Error,69.13,8.6
6/20/2025 17:36,MELTON,Harness,1,9,SOVEREIGN TIGER,CASH,Fixed Win,Tabtouch,14,Error,16,3.65
6/20/2025 22:05,BENDIGO,Greyhounds,10,5,TARAWI THERESE,CASH,Fixed Win,Tabtouch,1.8,Error,1.87,1.35
6/20/2025 20:42,BENDIGO,Greyhounds,6,2,OVER ACHIEVER,CASH,Fixed Win,Tabtouch,4,Error,4.6,1.52
6/20/2025 20:40,BENDIGO,Greyhounds,6,2,OVER ACHIEVER,CASH,Fixed Win,BetRight,5,Error,4.6,1.52
6/20/2025 20:00,BENDIGO,Greyhounds,4,8,THAT'S A BOODIE,CASH,Fixed Win,Sportsbet,12,Error,15.51,2.9
6/20/2025 19:09,BENDIGO,Greyhounds,2,4,MIDNIGHT THUNDER,CASH,Fixed Win,Sportsbet,23,Success,14.5,2.6
6/20/2025 21:58,NEWCASTLE,Harness,10,4,BULL SHARK,CASH,Fixed Win,TAB,10,Error,19,3
6/20/2025 21:57,NEWCASTLE,Harness,10,4,BULL SHARK,CASH,Fixed Win,Sportsbet,12,Error,19,3
6/20/2025 21:26,NEWCASTLE,Harness,9,3,MICKEYS RUN,CASH,Fixed Win,Tabtouch,3,Error,2.6,1.3
6/20/2025 21:24,NEWCASTLE,Harness,9,8,MIRA DOMINA,CASH,Fixed Win,Betr,41,Success,62.84,7.33
6/20/2025 21:23,NEWCASTLE,Harness,9,8,MIRA DOMINA,CASH,Fixed Win,TAB,34,Error,62.84,7.33
6/20/2025 21:22,NEWCASTLE,Harness,9,6,BARSHOC,CASH,Fixed Win,TAB,41,Error,32.45,6.08
6/20/2025 21:22,NEWCASTLE,Harness,9,10,BLAZING HIGH,CASH,Fixed Win,Tabtouch,26,Success,21,4.7
6/20/2025 21:21,NEWCASTLE,Harness,9,10,BLAZING HIGH,CASH,Fixed Win,BetRight,31,Success,21,4.7
