Time,Venue,Code,RaceNo,RunnerNo,RunnerName,Type,Market,Bookie,Odds
6/7/2025 20:29,GLOBE DERBY,Harness,4,2,MAJOR ICON NZ,CASH,Fixed Win,Tabtouch,7
6/7/2025 20:29,GLOBE DERBY,Harness,4,2,MAJOR ICON NZ,CASH,Fixed Win,Sportsbet,8
6/7/2025 20:19,Q2 PARKLANDS,Greyhounds,5,6,DISH FOR DASH,CASH,Fixed Win,Tabtouch,61
6/7/2025 20:19,Q2 PARKLANDS,Greyhounds,5,6,DISH FOR DASH,CASH,Fixed Win,TAB,61
6/7/2025 20:14,BUNBURY,Harness,2,11,AZIONE,CASH,Fixed Win,BetRight,26
6/7/2025 20:11,ALBION PARK,Harness,7,8,NURBURGRING NZ,CASH,Fixed Win,Tabtouch,7.5
6/7/2025 20:11,ALBION PARK,Harness,7,8,NURBURGRING NZ,CASH,Fixed Win,Sportsbet,7.5
6/7/2025 20:10,WENTWORTH PARK,Greyhounds,4,2,LEONI BALE,CASH,Fixed Win,BetRight,13
6/7/2025 20:10,WENTWORTH PARK,Greyhounds,4,2,LEONI BALE,CASH,Fixed Win,TAB,15
6/7/2025 20:08,ALBION PARK,Harness,7,7,LITTLE BOLT,CASH,Fixed Win,TAB,51
6/7/2025 20:08,ALBION PARK,Harness,7,7,LITTLE BOLT,CASH,Fixed Win,Sportsbet,71
6/7/2025 20:07,ALBION PARK,Harness,7,4,CHAP DADDY,CASH,Fixed Win,BetRight,9.5
6/7/2025 20:07,ALBION PARK,Harness,7,4,CHAP DADDY,CASH,Fixed Win,Sportsbet,12
6/7/2025 20:07,ALBION PARK,Harness,7,4,CHAP DADDY,CASH,Fixed Win,TAB,11
6/7/2025 20:06,ALBION PARK,Harness,7,5,LAST TIME JOE,CASH,Fixed Win,Sportsbet,11
6/7/2025 20:04,THE MEADOWS,Greyhounds,5,2,MISTER MANFREDI,CASH,Fixed Win,Sportsbet,21
6/7/2025 20:04,THE MEADOWS,Greyhounds,5,2,MISTER MANFREDI,CASH,Fixed Win,TAB,21
6/7/2025 20:04,THE MEADOWS,Greyhounds,5,2,MISTER MANFREDI,CASH,Fixed Win,BetRight,23
6/7/2025 19:56,Q2 PARKLANDS,Greyhounds,4,8,JUMPING JIVE,CASH,Fixed Win,Tabtouch,14
6/7/2025 19:56,Q2 PARKLANDS,Greyhounds,4,7,BOGIE DOMINATOR,CASH,Fixed Win,Tabtouch,15
6/7/2025 19:56,Q2 PARKLANDS,Greyhounds,4,8,JUMPING JIVE,CASH,Fixed Win,TAB,14
6/7/2025 19:56,Q2 PARKLANDS,Greyhounds,4,7,BOGIE DOMINATOR,CASH,Fixed Win,TAB,14
